0,9811
1,7788
2,9361
3,9432
4,9452
5,9948
6,9795
7,9806
8,9692
9,9643
10,9892
11,9733
12,10185
13,9913
14,9774
15,9448
16,9817
17,9736
18,9451
19,9818
20,9844
21,9680
22,9148
23,9859
24,9953
25,9771
26,8834
27,9729
28,10050
29,9373
30,9708
31,9768
32,8258
33,8505
34,8988
35,9988
36,9659
37,10022
38,9573
39,9787
40,9973
41,9878
42,9847
43,9524
44,9967
45,9512
46,9887
47,10027
48,9891
49,10126
50,9755
51,10228
52,9964
53,9981
54,9871
55,9771
56,9438
57,9880
58,9957
59,9594
60,10001
61,8643
62,3248
63,45
